ID;TITLE;DATE;LOCATION;LINK;FIGHT_LINKS_SCRAPED;FIGHT_DATA_SCRAPED
6e4acc2c115215b5;UFC 302: MAKHACHEV VS. POIRIER;2024-06-01;NEWARK, NEW JERSEY, USA;http://ufcstats.com/event-details/6e4acc2c115215b5;True;False
46baf0f57edfa4df;UFC FIGHT NIGHT: BARBOZA VS. MURPHY;2024-05-18;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/46baf0f57edfa4df;True;False
5dfe71ade71f3a4b;UFC FIGHT NIGHT: LEWIS VS. NASCIMENTO;2024-05-11;ST. LOUIS, MISSOURI, USA;http://ufcstats.com/event-details/5dfe71ade71f3a4b;True;False
981ab7a0576f76a0;UFC 301: PANTOJA VS. ERCEG;2024-05-04;RIO DE JANEIRO, RIO DE JANEIRO, BRAZIL;http://ufcstats.com/event-details/981ab7a0576f76a0;True;False
a16ce18149021139;UFC FIGHT NIGHT: NICOLAU VS. PEREZ;2024-04-27;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/a16ce18149021139;True;False
6750e338922a099d;UFC 300: PEREIRA VS. HILL;2024-04-13;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/6750e338922a099d;True;False
899eaba48fa864a6;UFC FIGHT NIGHT: ALLEN VS. CURTIS 2;2024-04-06;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/899eaba48fa864a6;True;False
dba230fe33011201;UFC FIGHT NIGHT: BLANCHFIELD VS. FIOROT;2024-03-30;ATLANTIC CITY, NEW JERSEY, USA;http://ufcstats.com/event-details/dba230fe33011201;True;False
79ff6545b0abc685;UFC FIGHT NIGHT: RIBAS VS. NAMAJUNAS;2024-03-23;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/79ff6545b0abc685;True;False
c398235fcaf8d71d;UFC FIGHT NIGHT: TUIVASA VS. TYBURA;2024-03-16;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/c398235fcaf8d71d;True;False
a9df5ae20a97b090;UFC 299: O'MALLEY VS. VERA 2;2024-03-09;MIAMI, FLORIDA, USA;http://ufcstats.com/event-details/a9df5ae20a97b090;True;False
e4a9dbade7c7e1a7;UFC FIGHT NIGHT: ROZENSTRUIK VS. GAZIEV;2024-03-02;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/e4a9dbade7c7e1a7;True;False
902ab9197b83d0db;UFC FIGHT NIGHT: MORENO VS. ROYVAL 2;2024-02-24;MEXICO CITY, DISTRITO FEDERAL, MEXICO;http://ufcstats.com/event-details/902ab9197b83d0db;True;False
dab0e6cb8c932162;UFC 298: VOLKANOVSKI VS. TOPURIA;2024-02-17;ANAHEIM, CALIFORNIA, USA;http://ufcstats.com/event-details/dab0e6cb8c932162;True;False
eaea0fc7b76525a8;UFC FIGHT NIGHT: HERMANSSON VS. PYFER;2024-02-10;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/eaea0fc7b76525a8;True;False
cce79e827569f26e;UFC FIGHT NIGHT: DOLIDZE VS. IMAVOV;2024-02-03;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/cce79e827569f26e;True;False
bd85ca0bb4f26cfc;UFC 297: STRICKLAND VS. DU PLESSIS;2024-01-20;TORONTO, ONTARIO, CANADA;http://ufcstats.com/event-details/bd85ca0bb4f26cfc;True;False
010986ee359fb863;UFC FIGHT NIGHT: ANKALAEV VS. WALKER 2;2024-01-13;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/010986ee359fb863;True;False
a8e8587a06e73c87;UFC 296: EDWARDS VS. COVINGTON;2023-12-16;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/a8e8587a06e73c87;True;False
5ef0088c1b19beeb;UFC FIGHT NIGHT: SONG VS. GUTIERREZ;2023-12-09;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/5ef0088c1b19beeb;True;False
53e4e21f4c688801;UFC FIGHT NIGHT: DARIUSH VS. TSARUKYAN;2023-12-02;AUSTIN, TEXAS, USA;http://ufcstats.com/event-details/53e4e21f4c688801;True;False
3feed7d02711d8b7;UFC FIGHT NIGHT: ALLEN VS. CRAIG;2023-11-18;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/3feed7d02711d8b7;True;False
5a558ba1ff5e9121;UFC 295: PROCHAZKA VS. PEREIRA;2023-11-11;NEW YORK CITY, NEW YORK, USA;http://ufcstats.com/event-details/5a558ba1ff5e9121;True;False
7c4ec656d8fcb867;UFC FIGHT NIGHT: ALMEIDA VS. LEWIS;2023-11-04;SAO PAULO, SAO PAULO, BRAZIL;http://ufcstats.com/event-details/7c4ec656d8fcb867;True;False
13a0fb8fbdafb54f;UFC 294: MAKHACHEV VS. VOLKANOVSKI 2;2023-10-21;ABU DHABI, ABU DHABI, UNITED ARAB EMIRATES;http://ufcstats.com/event-details/13a0fb8fbdafb54f;True;False
f3a078277b3b8ff4;UFC FIGHT NIGHT: YUSUFF VS. BARBOZA;2023-10-14;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/f3a078277b3b8ff4;True;False
c8a49ff2acb6f3c5;UFC FIGHT NIGHT: DAWSON VS. GREEN;2023-10-07;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/c8a49ff2acb6f3c5;True;False
c945adc22c2bfe8f;UFC FIGHT NIGHT: FIZIEV VS. GAMROT;2023-09-23;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/c945adc22c2bfe8f;True;False
8fa2b06572365321;UFC FIGHT NIGHT: GRASSO VS. SHEVCHENKO 2;2023-09-16;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/8fa2b06572365321;True;False
ece280745f8727b8;UFC 293: ADESANYA VS. STRICKLAND;2023-09-09;SYDNEY, NEW SOUTH WALES, AUSTRALIA;http://ufcstats.com/event-details/ece280745f8727b8;True;False
ef61d9f5176b3200;UFC FIGHT NIGHT: GANE VS. SPIVAC;2023-09-02;PARIS, ILE-DE-FRANCE, FRANCE;http://ufcstats.com/event-details/ef61d9f5176b3200;True;False
89a407032911e27e;UFC FIGHT NIGHT: HOLLOWAY VS. THE KOREAN ZOMBIE;2023-08-26;KALLANG, SINGAPORE;http://ufcstats.com/event-details/89a407032911e27e;True;False
2719f300b0439039;UFC 292: STERLING VS. O'MALLEY;2023-08-19;BOSTON, MASSACHUSETTS, USA;http://ufcstats.com/event-details/2719f300b0439039;True;False
d2fa318f34d0aadc;UFC FIGHT NIGHT: LUQUE VS. DOS ANJOS;2023-08-12;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/d2fa318f34d0aadc;True;False
6f81b6de2557739a;UFC FIGHT NIGHT: SANDHAGEN VS. FONT;2023-08-05;NASHVILLE, TENNESSEE, USA;http://ufcstats.com/event-details/6f81b6de2557739a;True;False
ccd58ff71e260ed5;UFC 291: POIRIER VS. GAETHJE 2;2023-07-29;SALT LAKE CITY, UTAH, USA;http://ufcstats.com/event-details/ccd58ff71e260ed5;True;False
1174782eacde9b0c;UFC FIGHT NIGHT: ASPINALL VS. TYBURA;2023-07-22;LONDON, ENGLAND, UNITED KINGDOM;http://ufcstats.com/event-details/1174782eacde9b0c;True;False
c9885b1b7c7055a0;UFC FIGHT NIGHT: HOLM VS. BUENO SILVA;2023-07-15;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/c9885b1b7c7055a0;True;False
6085ceb59087514b;UFC 290: VOLKANOVSKI VS. RODRIGUEZ;2023-07-08;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/6085ceb59087514b;True;False
e9e1acc96536bb4f;UFC FIGHT NIGHT: STRICKLAND VS. MAGOMEDOV;2023-07-01;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/e9e1acc96536bb4f;True;False
a780d16cf7eed44d;UFC FIGHT NIGHT: EMMETT VS. TOPURIA;2023-06-24;JACKSONVILLE, FLORIDA, USA;http://ufcstats.com/event-details/a780d16cf7eed44d;True;False
b9415726dc3ec526;UFC FIGHT NIGHT: VETTORI VS. CANNONIER;2023-06-17;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/b9415726dc3ec526;True;False
b6c6d1731ff00eeb;UFC 289: NUNES VS. ALDANA;2023-06-10;VANCOUVER, BRITISH COLUMBIA, CANADA;http://ufcstats.com/event-details/b6c6d1731ff00eeb;True;False
7abe471b61725980;UFC FIGHT NIGHT: KARA-FRANCE VS. ALBAZI;2023-06-03;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/7abe471b61725980;True;False
6f812143641ceff8;UFC FIGHT NIGHT: DERN VS. HILL;2023-05-20;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/6f812143641ceff8;True;False
901cddcbfa079097;UFC FIGHT NIGHT: ROZENSTRUIK VS. ALMEIDA;2023-05-13;CHARLOTTE, NORTH CAROLINA, USA;http://ufcstats.com/event-details/901cddcbfa079097;True;False
3c6976f8182d9527;UFC 288: STERLING VS. CEJUDO;2023-05-06;NEWARK, NEW JERSEY, USA;http://ufcstats.com/event-details/3c6976f8182d9527;True;False
